,temp,heat_state
2019-12-26 18:30:30+00:00,87.575,100.0
2019-12-26 18:30:45+00:00,87.8,100.0
2019-12-26 18:31:00+00:00,88.0815,100.0
2019-12-26 18:31:15+00:00,88.25,100.0
2019-12-26 18:31:30+00:00,88.4185,100.0
2019-12-26 18:31:45+00:00,88.7,100.0
2019-12-26 18:32:00+00:00,88.9815,100.0
2019-12-26 18:32:15+00:00,89.262,100.0
2019-12-26 18:32:30+00:00,89.4875,100.0
2019-12-26 18:32:45+00:00,89.825,100.0
2019-12-26 18:33:00+00:00,90.05000000000001,100.0
2019-12-26 18:33:15+00:00,90.275,100.0
2019-12-26 18:33:30+00:00,90.444,100.0
2019-12-26 18:33:45+00:00,90.725,100.0
2019-12-26 18:34:00+00:00,90.94999999999999,100.0
2019-12-26 18:34:15+00:00,91.288,100.0
2019-12-26 18:34:30+00:00,91.5685,100.0
2019-12-26 18:34:45+00:00,91.85,100.0
2019-12-26 18:35:00+00:00,92.0185,100.0
2019-12-26 18:35:15+00:00,92.188,100.0
2019-12-26 18:35:30+00:00,92.4125,100.0
2019-12-26 18:35:45+00:00,92.75,100.0
2019-12-26 18:36:00+00:00,92.975,100.0
2019-12-26 18:36:15+00:00,93.312,100.0
2019-12-26 18:36:30+00:00,93.594,100.0
2019-12-26 18:36:45+00:00,93.762,100.0
2019-12-26 18:37:00+00:00,93.9875,100.0
2019-12-26 18:37:15+00:00,94.325,100.0
2019-12-26 18:37:30+00:00,94.606,100.0
2019-12-26 18:37:45+00:00,94.888,100.0
2019-12-26 18:38:00+00:00,95.1685,100.0
2019-12-26 18:38:15+00:00,95.338,100.0
2019-12-26 18:38:30+00:00,95.506,100.0
2019-12-26 18:38:45+00:00,95.788,100.0
2019-12-26 18:39:00+00:00,96.0685,100.0
2019-12-26 18:39:15+00:00,96.35,100.0
2019-12-26 18:39:30+00:00,96.575,100.0
2019-12-26 18:39:45+00:00,96.912,100.0
2019-12-26 18:40:00+00:00,97.194,100.0
2019-12-26 18:40:15+00:00,97.475,100.0
2019-12-26 18:40:30+00:00,97.588,100.0
2019-12-26 18:40:45+00:00,97.812,100.0
2019-12-26 18:41:00+00:00,98.0375,100.0
2019-12-26 18:41:15+00:00,98.375,100.0
2019-12-26 18:41:30+00:00,98.6,100.0
2019-12-26 18:41:45+00:00,98.938,100.0
2019-12-26 18:42:00+00:00,99.1625,100.0
2019-12-26 18:42:15+00:00,99.388,100.0
2019-12-26 18:42:30+00:00,99.6685,100.0
2019-12-26 18:42:45+00:00,99.838,100.0
2019-12-26 18:43:00+00:00,100.006,100.0
2019-12-26 18:43:15+00:00,100.288,100.0
2019-12-26 18:43:30+00:00,100.5125,100.0
2019-12-26 18:43:45+00:00,100.738,100.0
2019-12-26 18:44:00+00:00,101.0185,100.0
2019-12-26 18:44:15+00:00,101.188,100.0
2019-12-26 18:44:30+00:00,101.4125,100.0
2019-12-26 18:44:45+00:00,101.638,100.0
2019-12-26 18:45:00+00:00,101.975,100.0
2019-12-26 18:45:15+00:00,102.2,100.0
2019-12-26 18:45:30+00:00,102.5375,100.0
2019-12-26 18:45:45+00:00,102.762,100.0
2019-12-26 18:46:00+00:00,102.9875,100.0
2019-12-26 18:46:15+00:00,103.325,100.0
2019-12-26 18:46:30+00:00,103.606,100.0
2019-12-26 18:46:45+00:00,103.775,100.0
2019-12-26 18:47:00+00:00,104.1125,100.0
2019-12-26 18:47:15+00:00,104.338,100.0
2019-12-26 18:47:30+00:00,104.675,100.0
2019-12-26 18:47:45+00:00,104.9,100.0
2019-12-26 18:48:00+00:00,105.125,100.0
2019-12-26 18:48:15+00:00,105.35,100.0
2019-12-26 18:48:30+00:00,105.6875,100.0
2019-12-26 18:48:45+00:00,105.912,100.0
2019-12-26 18:49:00+00:00,106.1375,100.0
2019-12-26 18:49:15+00:00,106.475,100.0
2019-12-26 18:49:30+00:00,106.8125,100.0
2019-12-26 18:49:45+00:00,107.038,100.0
2019-12-26 18:50:00+00:00,107.2625,100.0
2019-12-26 18:50:15+00:00,107.488,100.0
2019-12-26 18:50:30+00:00,107.7125,100.0
2019-12-26 18:50:45+00:00,107.938,100.0
2019-12-26 18:51:00+00:00,108.2185,100.0
2019-12-26 18:51:15+00:00,108.388,100.0
2019-12-26 18:51:30+00:00,108.556,100.0
2019-12-26 18:51:45+00:00,108.838,100.0
2019-12-26 18:52:00+00:00,109.1185,100.0
2019-12-26 18:52:15+00:00,109.4,100.0
2019-12-26 18:52:30+00:00,109.7375,100.0
2019-12-26 18:52:45+00:00,109.962,100.0
2019-12-26 18:53:00+00:00,110.244,100.0
2019-12-26 18:53:15+00:00,110.525,100.0
2019-12-26 18:53:30+00:00,110.75,100.0
2019-12-26 18:53:45+00:00,110.975,100.0
2019-12-26 18:54:00+00:00,111.256,100.0
2019-12-26 18:54:15+00:00,111.538,100.0
2019-12-26 18:54:30+00:00,111.706,100.0
2019-12-26 18:54:45+00:00,111.875,100.0
2019-12-26 18:55:00+00:00,112.156,100.0
2019-12-26 18:55:15+00:00,112.438,100.0
2019-12-26 18:55:30+00:00,112.606,100.0
2019-12-26 18:55:45+00:00,112.888,100.0
2019-12-26 18:56:00+00:00,113.1685,100.0
2019-12-26 18:56:15+00:00,113.45,100.0
2019-12-26 18:56:30+00:00,113.7875,100.0
2019-12-26 18:56:45+00:00,114.125,100.0
2019-12-26 18:57:00+00:00,114.294,100.0
2019-12-26 18:57:15+00:00,114.575,100.0
2019-12-26 18:57:30+00:00,114.744,100.0
2019-12-26 18:57:45+00:00,115.025,100.0
2019-12-26 18:58:00+00:00,115.25,100.0
2019-12-26 18:58:15+00:00,115.475,100.0
2019-12-26 18:58:30+00:00,115.69999999999999,100.0
2019-12-26 18:58:45+00:00,115.925,100.0
2019-12-26 18:59:00+00:00,116.206,100.0
2019-12-26 18:59:15+00:00,116.375,100.0
2019-12-26 18:59:30+00:00,116.6,100.0
2019-12-26 18:59:45+00:00,116.825,100.0
2019-12-26 19:00:00+00:00,117.106,100.0
2019-12-26 19:00:15+00:00,117.388,100.0
2019-12-26 19:00:30+00:00,117.6685,100.0
2019-12-26 19:00:45+00:00,117.95,100.0
2019-12-26 19:01:00+00:00,118.1185,100.0
2019-12-26 19:01:15+00:00,118.288,100.0
2019-12-26 19:01:30+00:00,118.5685,100.0
2019-12-26 19:01:45+00:00,118.85,100.0
2019-12-26 19:02:00+00:00,119.075,100.0
2019-12-26 19:02:15+00:00,119.3,100.0
2019-12-26 19:02:30+00:00,119.5815,100.0
2019-12-26 19:02:45+00:00,119.862,100.0
2019-12-26 19:03:00+00:00,120.0875,100.0
2019-12-26 19:03:15+00:00,120.312,100.0
2019-12-26 19:03:30+00:00,120.594,100.0
2019-12-26 19:03:45+00:00,120.762,100.0
2019-12-26 19:04:00+00:00,121.044,100.0
2019-12-26 19:04:15+00:00,121.212,100.0
2019-12-26 19:04:30+00:00,121.55000000000001,100.0
2019-12-26 19:04:45+00:00,121.775,100.0
2019-12-26 19:05:00+00:00,122.056,100.0
